batch class_loss class_acc conf_loss conf
0 0.0039 100.00 0.0084 99.17
10 0.0816 96.88 0.0549 96.65
20 0.0227 100.00 0.0140 98.64
30 0.0164 100.00 0.0083 99.18
40 0.0118 100.00 0.0056 99.45
50 0.2219 93.75 0.2303 97.05
60 0.0079 100.00 0.0256 97.73
70 0.0268 100.00 0.0201 98.15
80 0.0192 100.00 0.0165 98.45
90 0.0893 96.88 0.0768 97.51
100 0.0072 100.00 0.0143 98.63
110 0.0258 100.00 0.0075 99.27
120 0.0081 100.00 0.0072 99.29
130 0.0189 100.00 0.0212 98.02
140 0.0100 100.00 0.0097 99.06
150 0.0973 96.88 0.0634 98.67
160 0.0131 100.00 0.0127 98.76
170 0.1381 96.88 0.0639 96.33
180 0.0125 100.00 0.0344 96.89
190 0.0162 100.00 0.0116 98.87
200 0.0026 100.00 0.0160 98.49
210 0.0030 100.00 0.0095 99.07
220 0.0036 100.00 0.0067 99.34
230 0.0022 100.00 0.0150 98.57
240 0.0215 100.00 0.0253 97.69
250 0.0461 96.88 0.1219 98.08
260 0.0114 100.00 0.0132 98.71
270 0.0192 100.00 0.0139 98.65
280 0.0442 96.88 0.0775 98.76
290 0.0324 96.88 0.1059 99.03
300 0.0208 100.00 0.0231 97.93
310 0.1605 96.88 0.1812 98.56
320 0.1314 96.88 0.0790 98.41
330 0.0030 100.00 0.0185 98.28
340 0.0270 100.00 0.0242 97.86
350 0.0993 93.75 0.1496 98.49
360 0.0028 100.00 0.0104 98.98
370 0.0166 100.00 0.0150 98.55
380 0.2826 93.75 0.1544 97.81
390 0.0040 100.00 0.0078 99.24
400 0.1780 96.88 0.1372 97.91
410 0.0345 100.00 0.0094 99.08
420 0.1615 96.88 0.1255 98.02
430 0.0095 100.00 0.0168 98.37
440 0.2958 93.75 0.2673 99.00
450 0.0205 100.00 0.0201 98.13
460 0.0054 100.00 0.0274 97.45
470 0.0194 100.00 0.0232 97.81
480 0.0102 100.00 0.0215 97.95
490 0.0013 100.00 0.0131 98.75
500 0.1197 96.88 0.1647 98.35
510 0.0297 100.00 0.0205 98.04
520 0.1809 96.88 0.1320 98.67
530 0.1020 96.88 0.1480 97.53
540 0.0093 100.00 0.0149 98.56
550 0.0019 100.00 0.0193 98.15
560 0.0074 100.00 0.0133 98.72
570 0.0082 100.00 0.0130 98.74
580 0.0016 100.00 0.0188 98.25
590 0.0128 100.00 0.0149 98.63
600 0.0026 100.00 0.0127 98.78
610 0.0280 100.00 0.0171 98.40
620 0.0262 96.88 0.0862 98.63
630 0.0604 100.00 0.0241 97.75
640 0.1169 96.88 0.0773 98.65
650 0.0076 100.00 0.0163 98.50
660 0.0337 100.00 0.0224 97.88
670 0.0230 100.00 0.0263 97.49
680 0.0012 100.00 0.0129 98.75
690 0.0037 100.00 0.0120 98.83
700 0.0451 100.00 0.0142 98.62
710 0.1001 93.75 0.1541 98.59
720 0.0108 100.00 0.0232 97.91
730 0.0193 100.00 0.0184 98.21
740 0.0055 100.00 0.0125 98.78
750 0.2075 93.75 0.1898 98.80
760 0.0884 96.88 0.1567 98.89
770 0.0415 96.88 0.1019 98.30
780 0.1613 96.88 0.1122 98.80
790 0.0537 96.88 0.0911 99.06
800 0.0761 96.88 0.0859 98.18
810 0.0028 100.00 0.0099 99.03
820 0.0149 100.00 0.0099 99.03
830 0.0041 100.00 0.0211 98.07
840 0.0395 96.88 0.0640 98.14
850 0.0102 100.00 0.0202 98.18
860 0.0663 96.88 0.0452 96.28
870 0.0019 100.00 0.0098 99.05
880 0.0060 100.00 0.0094 99.08
890 0.0025 100.00 0.0113 98.90
900 0.0174 100.00 0.0156 98.55
910 0.0175 100.00 0.0200 98.08
920 0.0499 96.88 0.1077 98.90
930 0.0129 100.00 0.0152 98.55
940 0.0435 96.88 0.1709 99.31
950 0.0911 93.75 0.2158 98.74
960 0.0389 96.88 0.0393 96.82
970 0.0677 100.00 0.0319 97.01
980 0.0060 100.00 0.0187 98.19
990 0.0489 100.00 0.0320 96.99
1000 0.0012 100.00 0.0054 99.46
1010 0.0128 100.00 0.0373 96.67
1020 0.1267 96.88 0.1511 97.61
1030 0.0111 100.00 0.0103 99.02
1040 0.0071 100.00 0.0121 98.82
1050 0.0006 100.00 0.0074 99.27
1060 0.0180 100.00 0.0285 97.54
1070 0.0626 96.88 0.0873 98.68
1080 0.1250 93.75 0.1156 96.22
1090 0.0007 100.00 0.0178 98.39
1100 0.0312 100.00 0.0357 96.76
1110 0.0141 100.00 0.0246 97.68
1120 0.0573 100.00 0.0153 98.53
1130 0.0097 100.00 0.0132 98.75
1140 0.1205 96.88 0.1182 98.31
1150 0.2481 93.75 0.1912 97.29
1160 0.0087 100.00 0.0198 98.14
1170 0.0461 100.00 0.0190 98.25
1180 0.0163 100.00 0.0159 98.51
1190 0.0620 96.88 0.0754 97.62
1200 0.0011 100.00 0.0121 98.82
1210 0.1112 96.88 0.0526 97.03
1220 0.0098 100.00 0.0206 98.08
1230 0.0224 100.00 0.0288 97.31
1240 0.0712 96.88 0.0680 98.60
1250 0.0020 100.00 0.0119 98.84
1260 0.0439 100.00 0.0196 98.14
1270 0.0903 96.88 0.0701 97.91
1280 0.0556 96.88 0.0579 97.47
1290 0.0811 96.88 0.1541 99.06
1300 0.1225 96.88 0.1046 98.39
1310 0.0150 100.00 0.0148 98.62
1320 0.0104 100.00 0.0103 98.99
1330 0.0991 96.88 0.0735 97.65
1340 0.0010 100.00 0.0062 99.38
1350 0.0221 100.00 0.0124 98.78
1360 0.0049 100.00 0.0066 99.35
1370 0.0020 100.00 0.0066 99.34
1380 0.0010 100.00 0.0087 99.15
1390 0.2078 93.75 0.1196 98.44
