batch class_loss class_acc conf_loss conf
0 0.4738 87.50 0.2111 77.85
10 0.6526 78.12 0.3638 80.33
20 0.8050 71.88 0.3378 83.26
30 0.5424 84.38 0.4485 83.13
40 0.3993 87.50 0.1763 85.52
50 0.8120 71.88 0.2975 77.25
60 0.5515 78.12 0.3495 79.14
70 0.2114 90.62 0.1101 88.43
80 0.6838 78.12 0.3939 79.16
90 0.7828 75.00 0.2243 77.03
100 0.2679 93.75 0.1797 82.12
110 0.5596 78.12 0.2452 79.93
120 0.3625 84.38 0.1841 85.71
130 0.6650 81.25 0.3388 78.41
140 0.4143 87.50 0.2615 85.07
150 0.5047 81.25 0.2969 81.93
160 0.9852 68.75 0.3416 79.88
170 0.4105 84.38 0.2316 78.24
180 0.5947 75.00 0.3441 78.52
190 0.4338 84.38 0.1945 81.90
200 0.6306 84.38 0.3630 86.43
210 0.4593 87.50 0.2506 81.71
220 0.5789 84.38 0.3194 79.61
230 0.7403 75.00 0.2374 75.48
240 0.6010 81.25 0.1729 80.58
250 0.9013 62.50 0.6090 81.42
260 0.2971 87.50 0.1983 86.35
270 0.4196 84.38 0.2959 83.95
280 0.1957 90.62 0.2174 89.07
290 0.5745 84.38 0.3456 77.39
300 0.3700 90.62 0.3050 81.11
310 0.6074 81.25 0.3268 81.07
320 0.3264 90.62 0.1407 82.09
330 0.6375 78.12 0.2429 78.03
340 0.5530 81.25 0.3155 82.72
350 0.4053 84.38 0.2113 83.92
360 0.6013 81.25 0.3447 81.42
370 0.2581 87.50 0.1798 87.81
380 0.4482 87.50 0.2467 82.26
390 0.3814 87.50 0.2005 82.68
400 1.2319 65.62 0.5266 81.46
410 0.4414 84.38 0.1259 80.09
420 0.4176 84.38 0.1186 81.92
430 0.4970 84.38 0.2972 84.06
440 0.3453 84.38 0.1964 82.58
450 0.6315 81.25 0.1915 78.23
460 0.5628 81.25 0.2952 80.48
470 0.7119 78.12 0.3516 80.25
480 0.5227 78.12 0.1830 80.08
490 0.5834 78.12 0.2436 81.26
