batch class_loss class_acc conf_loss conf
0 0.7108 40.62 0.6989 51.32
10 0.6845 50.00 0.6980 50.96
20 0.7059 46.88 0.7035 51.91
30 0.7085 40.62 0.7133 54.12
40 0.6727 59.38 0.6720 53.73
50 0.6685 53.12 0.6828 52.51
60 0.6648 56.25 0.6835 52.29
70 0.6968 56.25 0.6846 53.81
80 0.6886 62.50 0.6760 56.85
90 0.6489 59.38 0.6605 57.98
100 0.6740 59.38 0.6973 57.72
110 0.7099 40.62 0.7204 56.62
120 0.6575 56.25 0.6700 54.92
130 0.6466 68.75 0.6394 55.20
140 0.7050 50.00 0.7102 55.66
150 0.6976 37.50 0.6939 52.09
160 0.7062 43.75 0.6982 50.09
170 0.6646 59.38 0.6845 49.44
180 0.6848 56.25 0.6769 51.62
190 0.7182 37.50 0.6989 52.27
200 0.6720 62.50 0.6670 51.04
210 0.6796 53.12 0.6794 52.13
220 0.6728 75.00 0.6756 51.36
230 0.6780 62.50 0.6784 52.73
240 0.6750 59.38 0.6683 52.97
250 0.6887 50.00 0.6756 53.03
260 0.6930 53.12 0.6945 54.14
270 0.6908 56.25 0.7047 54.58
280 0.6782 59.38 0.6873 54.38
290 0.7134 50.00 0.7008 52.60
300 0.6816 56.25 0.6838 51.14
310 0.6901 59.38 0.6932 51.16
